Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
52517;VESAIGNES SOUS LAFAUCHE;52700;48.2849, 5.444;125
52525;VILLARS EN AZOIS;52120;48.0698, 4.71941;71
52526;VILLARS SANTENOGE;52160;47.7443, 4.99919;95
52535;VILLIERS LE SEC;52000;48.1018, 5.07196;725
52536;VILLIERS LES APREY;52190;47.7516, 5.21966;47
52541;VITRY LES NOGENT;52800;47.9867, 5.34348;175
52544;VOISEY;52400;47.8788, 5.76399;301
52547;VOUECOURT;52320;48.2626, 5.15815;211
53002;ALEXAIN;53240;48.2321, -0.735728;614
53003;AMBRIERES LES VALLEES;53300;48.4227, -0.62416;2878
53003;AMBRIERES LES VALLEES;53300;48.4227, -0.62416;2878
53006;ARGENTON NOTRE DAME;53290;47.7818, -0.59921;220
53008;ARON;53440;48.3037, -0.549695;1825
53013;AVERTON;53700;48.3546, -0.210522;610
53029;BIERNE;53290;47.8071, -0.532804;693
53040;BOURGON;53410;48.1604, -1.04536;671
53041;BRAINS SUR LES MARCHES;53350;47.8835, -1.17613;267
53042;BRECE;53120;48.3902, -0.771171;848
53057;LA CHAPELLE AU RIBOUL;53440;48.3162, -0.432803;513
53062;CHATEAU GONTIER;53200;47.829, -0.738722;12298
53067;CHEMERE LE ROI;53340;47.9744, -0.445588;424
53068;CHERANCE;53400;47.8007, -0.926581;162
53069;CHEVAIGNE DU MAINE;53250;48.4381, -0.40063;182
53076;COSSE EN CHAMPAGNE;53340;47.9651, -0.323516;332
53082;COURBEVEILLE;53230;47.9867, -0.888327;640
53087;LA CROPTE;53170;47.9541, -0.491506;224
53088;CUILLE;53540;47.9658, -1.11499;928
53095;EPINEUX LE SEGUIN;53340;47.9418, -0.350865;0
53097;EVRON;53600;48.152, -0.38927;7479
53101;FROMENTIERES;53200;47.8718, -0.667773;858
53108;LA GRAVELLE;53410;48.0812, -1.02431;525
53109;GRAZAY;53440;48.2855, -0.476272;651
53115;HERCE;53120;48.423, -0.860572;325
53123;JUVIGNE;53380;48.2356, -1.02189;1480
53132;LEVARE;53120;48.4189, -0.90733;330
53133;LIGNIERES ORGERES;53140;48.5289, -0.212232;791
53133;LIGNIERES ORGERES;53140;48.5289, -0.212232;791
53135;LIVRE LA TOUCHE;53400;47.8891, -0.992643;779
53141;LOUVIGNE;53210;48.0547, -0.634641;1129
53146;MARTIGNE SUR MAYENNE;53470;48.2027, -0.661055;1827
53151;MERAL;53230;47.9515, -1.01549;1099
53160;MONTREUIL POULAY;53640;48.3859, -0.535819;395
53169;OLIVET;53410;48.1208, -0.935027;427
53174;PARIGNE SUR BRAYE;53100;48.3233, -0.64723;860
53186;QUELAINES ST GAULT;53360;47.9279, -0.799171;2190
53186;QUELAINES ST GAULT;53360;47.9279, -0.799171;2190
53190;LE RIBAY;53640;48.3783, -0.415575;468
53192;LA ROUAUDIERE;53390;47.8381, -1.18557;341
53199;ST AUBIN FOSSE LOUVAIN;53120;48.4491, -0.836057;226
53202;ST BERTHEVIN LA TANNIERE;53220;48.4068, -0.947577;355
53208;ST CYR EN PAIL;53140;48.4339, -0.253528;500
53209;ST CYR LE GRAVELAIS;53320;48.0387, -1.00495;549
53210;ST DENIS D ANJOU;53290;47.79, -0.443836;1585
53215;ST FORT;53200;47.8003, -0.707857;1702
53219;ST GEORGES BUTTAVENT;53100;48.301, -0.709948;1457
53225;ST GERMAIN LE GUILLAUME;53240;48.2074, -0.827228;493
53228;ST JEAN SUR ERVE;53270;48.0403, -0.388241;649
